channel_id,tier,wd_item,wd_class,label,country,reason,alt_of
UC16niRr50-MSBwiO3YDb3RA,0,Q1160945|Q4704926,mass media|news media|news website|newspaper,BBC News,GB,newsguard_validated,
UC17dbQvcg-vsJlDNKYi5t8A,0,,,Dr. Roberto Gava,IT,newsguard_validated,
UC18-7qYJWAqM9eF1GvMn6Og,0,,,Dane Wigington,US,newsguard_validated,
UC181dM_dq5kVFoOrQV89OwA,0,,,lovebscott,,newsguard_validated,
UC18BHaxZk7gCwIJ4bYxi3dg,0,,,NÖN,,newsguard_validated,
UC1AVtbGS9tJiTTHclBAsj3w,0,,,Rewire News Group,US,newsguard_validated,
UC1Ahz-Lx2CkejAunMWwCpYQ,0,,,WDTV 5 News,US,newsguard_validated,
UC1C8JlJz73gTwlnnsZWJp2A,0,,,Deutsche Wirtschafts Nachrichten,DE,newsguard_validated,
UC1FbPiXx59_ltnFVx7IxWow,0,,,FOX Weather,US,newsguard_validated,
UC1Gz1YkPBoLzQSBKbswBHAw,0,Q7951184,television station,WJHL,United States,newsguard_validated,
UC1HEz1GNfVMMBvCptQAa1Tw,0,,,Le Charlevoisien,,newsguard_validated,
UC1JAwKeDUjN2orv5t7LWODQ,0,,,KARE 11,US,newsguard_validated,
UC1JaWxosL7LG7JoArkGoP_g,0,,,Anderson Independent Mail,,newsguard_validated,
UC1KF4bZvT5iAbAHVv4MuNxg,0,Q737529,newspaper,Staten Island Advance,US,newsguard_validated,
UC1KjQvpVVQ7jhh7pHntvLGA,0,,,newsguardeditor,,newsguard_validated,
UC1M7j01tdu5TTKepAGatmyw,0,,,"Herbs, Health & Happiness",GB,newsguard_validated,
UC1ObaaFz4XHVPN2T5IFsU4w,0,Q1044328,newspaper,Le Nouvel Obs,FR,newsguard_validated,
UC1PRGaduTPEkvzBYAthpkhQ,0,,,The Patriot Post,,newsguard_validated,
UC1R8QmbLqSrOBVDiteYOGTA,0,,,Somerset Live,,newsguard_validated,
UC1ULMK_HfgcIZi1UI6TwlPg,0,,,Jeanmarcmorandini,,newsguard_validated,
UC1VKVKhJLc7PjdPPVxTDk0Q,0,,,NBC4 Washington,US,newsguard_validated,
UC1XUCiDr1YxQv-qdF9vGB9A,0,,,enVolve News,US,newsguard_validated,
UC1Y7onDsPyfP-lu--SXF-ew,0,,,Quarks,DE,newsguard_validated,
UC1Z1i5ClfrJhyu9z1hlmDkQ,0,,,Daily Kos,US,newsguard_validated,
UC1_PpwVGlUVHmUxubW8BucQ,0,,,The GrowthOp,CA,newsguard_validated,
UC1_T7IarN92qnedsIjUh4aw,0,,,VT Jungle Creations,,newsguard_validated,
UC1_tbS2W2Pn2cAhnxiDAa2w,0,Q6328929,television station,"Texomashomepage.com - KFDX, KJTL",United States,newsguard_validated,
UC1aJuxLHlw8bBV6mfCqVfog,0,,,Eater at Home ,,newsguard_validated,
UC1dVGItBqV4w-4xQHoX1UDg,0,Q2537497,television station,CBS 17,US,newsguard_validated,
UC1fl9poQ2U24RZ-6bJF1vZw,0,,,Renovatio 21,,newsguard_validated,
UC1hxUKIonH_8N7Xqj65IEsg,0,Q90055382,mass media|news media|news website|newspaper,Atlanta Black Star,US,newsguard_validated,
UC1lSJPfMswLZcpyfzmkX5HA,0,,,TRT Deutsch,DE,newsguard_validated,
UC1mX9vuLOYf8fhaXS_KcDRg,0,Q8478,mass media|television channel|television station,euronews (in Italiano),IT,newsguard_validated,
UC1nH663_wyphSHggA8gmY8g,0,,,12up,US,newsguard_validated,
UC1nIYaeAup3WP50QduXcUGQ,0,,,TalkGlitz TV,NG,newsguard_validated,
UC1nZ0Yu_CHkRZEkam8G3HtA,0,,,Snoozy,,newsguard_validated,
UC1qJzOLtUKbTV7YrnF7ys9A,0,,,NBC 24 WNWO,,newsguard_validated,
UC1twSmeoKBHBcZ1Uk98DQbg,0,,,One Voice,FR,newsguard_validated,
UC1uRlJ7rn8obq8LDlmsCD4g,0,,,SILVANA DE MARI,IT,newsguard_validated,
UC1w6pNGiiLdZgyNpXUnA4Zw,0,Q2309835,media company,DER SPIEGEL,DE,newsguard_validated,
UC1y1GtNgGiAUBfQz87ltjag,0,Q108799268,television station,exxpressTV,AT,newsguard_validated,
UC1yBKRuGpC1tSM73A0ZjYjQ,0,Q19655,mass media|news media|news program,The Young Turks,US,newsguard_validated,
UC1yLBhh8eDSPm-_Hgz8AvNA,0,Q64003230,magazine|mass media|news media|news website|newspaper|online newspaper,Slate.fr,FR,newsguard_validated,
UC1ybNBoltn5hDYzz5k1d0qw,0,,,Must Read Alaska,US,newsguard_validated,
UC2-yl__AsYzEQreG137gpEw,0,,,Tips Zeitungs GmbH & Co KG,AT,newsguard_validated,
