row_number,domain,brand_name,current_url,issue_type,corrected_url
1880,cbc.ca,Canadian Broadcasting Corporation,https://www.youtube.com/CBC,BARE_NAME,https://www.youtube.com/@CBC
1908,environmentaldefence.ca,,https://www.youtube.com/ENVIRONMENTALDEFENCE,BARE_NAME,https://www.youtube.com/@environmentaldefence
2022,mobilesyrup.com,Mobile Syrup,https://www.youtube.com/mobilesyrup,BARE_NAME,https://www.youtube.com/@mobilesyrup
2116,kelownanow.com,KelownaNow,https://www.youtube.com/welcometokelowna,BARE_NAME,https://www.youtube.com/@thenowmediagroup
2167,saultonline.com,SaultOnline,https://www.youtube.com/SaultOnlineONNtv,BARE_NAME,https://www.youtube.com/@TheSaultChannel
2192,ipcc.ch,Intergovernmental Panel on Climate Change,https://www.youtube.com/IPCCGeneva,BARE_NAME,https://www.youtube.com/@IPCCGeneva
2246,trtdeutsch.com,TRT Deutsch,https://www.youtube.com/trtdeutsch,BARE_NAME,https://www.youtube.com/@TRTDeutsch
2249,nrw-aktuell.tv,nrw-aktuell.tv,https://www.youtube.com/nrwaktuelltv,BARE_NAME,https://www.youtube.com/@nrwaktuelltv
2416,andreaskalcker.com,AndreasKalcker,https://dioxitube.com/,NON_YOUTUBE,https://www.youtube.com/@andreaskalcker2537
2443,evangelisch.de,evangelisch.de,https://www.youtube.com/EvangelischDE,BARE_NAME,https://www.youtube.com/@EvangelischDE
2681,qactus.fr,L'Informateur,https://www.youtube.com/watch?v=p8XlG8aen_4,VIDEO_URL,https://www.youtube.com/@qactuslinformateur.9299
2682,qactusinformateur.wordpress.com,L'Informateur,https://www.youtube.com/watch?v=p8XlG8aen_4,VIDEO_URL,https://www.youtube.com/@qactuslinformateur.9299
2814,lesdeqodeurs.fr,Les DéQodeurs ,https://www.youtube.com/playlist?list=PLRQmtEOmt7KKZkwCzXpLmXCqNZUMVM0Ez,PLAYLIST_URL,https://www.youtube.com/@LesDeqodeursPlus
2857,euractiv.fr,Euractiv,https://www.youtube.com/euractiv,BARE_NAME,www.youtube.com/@Euractiv
2881,arretsurimages.net,Arrêt sur images ,https://www.youtube.com/arretsurimagesmedia,BARE_NAME,https://www.youtube.com/c/Arretsurimages
3043,vactruth.com,VacTruth,https://www.youtube.com/vactruth,BARE_NAME,NONE
3092,thetimes.com,The Times and Sunday Times,https://www.youtube.com/results?search_query=the+times+and+the+sunday+times,BARE_NAME,https://www.youtube.com/@TheTimes
3093,thetimes.co.uk,The Times and Sunday Times,https://www.youtube.com/results?search_query=the+times+and+the+sunday+times,BARE_NAME,https://www.youtube.com/@TheTimes
3107,doubledown.news,Doubledown news,https://www.youtube.com/DoubleDownNews,BARE_NAME,https://www.youtube.com/@DoubleDownNews
3140,theguardian.com,The Guardian,https://www.youtube.com/guardian,BARE_NAME,https://www.youtube.com/@guardiannews
3157,dazeddigital.com,Dazed,https://www.youtube.com/dazed,BARE_NAME,https://www.youtube.com/@dazed
4157,saronnonews.it,Saronno News,https://www.youtube.com/playlist?list=PLUarR3Z69ulnJO0HPcSrzPilVDo0ZAh-6,PLAYLIST_URL,NONE
4623,euroweeklynews.com,Euro Weekly News,https://www.youtube.com/euroweeklynews,BARE_NAME,https://www.youtube.com/@Euroweeklynews
4674,activistpost.com,,https://youtube.com/activistpost,BARE_NAME,NONE
4675,activistpost.org,,https://youtube.com/activistpost,BARE_NAME,NONE
5138,alreporter.com,Alabama Political Reporter,https://www.youtube.com/aprthev,BARE_NAME,https://www.youtube.com/@aprthev
5158,wjhg.com,WJHG,https://www.youtube.com/playlist?list=PLF68DDD5EE1D3EECF,PLAYLIST_URL,https://www.youtube.com/@wjhgtv
5289,marinelink.com,,https://www.youtube.com/MaritimeReporterTV,BARE_NAME,https://www.youtube.com/@MaritimeReporterTV
5738,english.alarabiya.net,Al Arabiya English,https://www.youtube.com/AlArabiyaEnglish,BARE_NAME,https://www.youtube.com/@AlArabiyaEnglish
6003,refinery29.com,Refinery29,https://www.youtube.com/Refinery29TV,BARE_NAME,https://www.youtube.com/@refinery29
6044,genesiustimes.com,,https://www.youtube.com/watch?v=MPKoeCcJo2o,VIDEO_URL,https://www.youtube.com/@GenesiusTimes
6413,bongino.com,Bongino.com,https://www.youtube.com/bongino,BARE_NAME,https://www.youtube.com/c/Bongino
